1,69,
2,76,
3,73,
4,114,
5,134,
6,880,
7,15,
8,33,
9,43,
10,36,
11,48,
12,43,
13,19,
14,14,
15,13,
16,20,
17,24,
18,39,
19,48,
20,591,
21,10,
22,12,
23,18,
24,24,
25,45,
26,61,
27,72,
28,16,
29,7,
30,6,
31,6,
32,56,
33,538,
34,19,
35,16,
36,23,
37,38,
38,26,
39,32,
40,33,
41,15,
42,19,
43,339,
44,15,
45,30,
46,34,
47,23,
48,15,
49,15,
50,11,
51,6,
52,6,
53,322,
54,24,
55,14,
56,11,
57,13,
58,16,
59,23,
60,25,
61,38,
62,244,
63,14,
64,11,
65,11,
66,21,
67,28,
68,25,
67,497,
66,38,
65,22,
64,11,
63,10,
62,9,
61,8,
62,230,
63,20,
64,17,
65,16,
66,24,
67,59,
66,116,
65,30,
64,17,
63,16,
62,12,
61,9,
60,27,
61,87,
62,18,
63,15,
64,11,
65,13,
64,136,
63,19,
62,16,
61,17,
60,72,
59,122,
60,340,
61,33,
62,22,
63,14,
64,12,
65,11,
66,33,
65,122,
64,20,
63,14,
62,10,
61,10,
60,31,
59,65,
58,472,
57,11,
56,11,
55,9,
54,13,
53,22,
52,82,
51,294,
50,20,
49,21,
48,19,
47,12,
46,11,
45,22,
44,289,
43,27,
42,11,
41,7,
40,6,
39,6,
38,14,
37,15,
36,25,
35,277,
34,10,
33,7,
32,5,
31,6,
30,19,
29,38,
28,28,
27,16,
26,222,
25,8,
24,10,
23,14,
22,20,
21,31,
20,18,
19,12,
18,199,
17,13,
16,16,
15,46,
14,69,
13,61,
12,17,
11,12,
10,14,
9,14,
8,21,
7,63,
6,106,
5,121,
4,46,
3,25,
2,21,
1,11,
0,7,
-1,95,
-2,802,
-3,208,
-4,144,
-5,161,
-6,144,
-7,114,
-8,115,
-9,348,
-10,252,
-11,100,
-12,126,
-13,198,
-14,131,
-15,126,
-16,521,
-17,131,
-18,124,
-19,142,
-20,123,
-21,127,
-22,340,
-23,397,
-24,162,
-25,223,
-26,521,
-27,155,
-28,125,
-29,143,
-30,163,
-31,153,
-32,167,
-33,350,
-34,173,
-35,50,
-36,329,
-37,53,
-38,120,
-39,192,
-40,116,
-41,161,
-42,217,
